Year,Name,Pos.,Races Started,Pts.
1950,Nino Farina,1,6,30
1951,Juan Manuel Fangio,1,7,37
1952,Alberto Ascari,1,7,53.5
1953,Alberto Ascari,1,8,46.5
1954,Juan Manuel Fangio,1,8,57.14
1955,Juan Manuel Fangio,1,6,41
1956,Juan Manuel Fangio,1,7,33
1957,Juan Manuel Fangio,1,7,46
1958,Mike Hawthorn,1,10,49
1959,Jack Brabham,1,8,34
1960,Jack Brabham,1,8,43
1961,Phil Hill,1,7,38
1962,Graham Hill,1,9,52
1963,Jim Clark,1,10,73
1964,John Surtees,1,10,40
1965,Jim Clark,1,9,54
1966,Jack Brabham,1,9,45
1967,Denny Hulme,1,11,51
1968,Graham Hill,1,12,48
1969,Jackie Stewart,1,11,63
1970,Jochen Rindt,1,9,45
1971,Jackie Stewart,1,11,62
1972,Emerson Fittipaldi,1,12,61
1973,Jackie Stewart,1,14,71
1974,Emerson Fittipaldi,1,15,55
1975,Niki Lauda,1,14,64.5
1976,James Hunt,1,16,69
1977,Niki Lauda,1,14,72
1978,Mario Andretti,1,16,64
1979,Jody Scheckter,1,15,60
1980,Alan Jones,1,14,71
1981,Nelson Piquet,1,15,50
1982,Keke Rosberg,1,15,44
1983,Nelson Piquet,1,15,59
1984,Niki Lauda,1,16,72
1985,Alain Prost,1,16,76
1986,Alain Prost,1,16,74
1987,Nelson Piquet,1,15,76
1988,Ayrton Senna,1,16,94
1989,Alain Prost,1,16,81
1990,Ayrton Senna,1,16,78
1991,Ayrton Senna,1,16,96
1992,Nigel Mansell,1,16,108
1993,Alain Prost,1,16,99
1994,Michael Schumacher,1,14,92
1995,Michael Schumacher,1,17,102
1996,Damon Hill,1,16,97
1997,Jacques Villeneuve,1,17,81
1998,Mika Hakkinen,1,16,100
1999,Mika Hakkinen,1,16,76
2000,Michael Schumacher,1,17,108
2001,Michael Schumacher,1,17,123
2002,Michael Schumacher,1,17,144
2003,Michael Schumacher,1,16,93
2004,Michael Schumacher,1,18,148
2005,Fernando Alonso,1,18,133
2006,Fernando Alonso,1,18,134
2007,Kimi Raikkonen,1,17,110
2008,Lewis Hamilton,1,18,98
2009,Jenson Button,1,17,95
2010,Sebastian Vettel,1,19,256
2011,Sebastian Vettel,1,19,392
2012,Sebastian Vettel,1,20,281
2013,Sebastian Vettel,1,19,397
2014,Lewis Hamilton,1,19,384
2015,Lewis Hamilton,1,19,381
2016,Nico Rosberg,1,21,385
2017,Lewis Hamilton,1,20,363
2018,Lewis Hamilton,1,21,408
2019,Lewis Hamilton,1,21,413
2020,Lewis Hamilton,1,16,347
2021,Max Verstappen,1,22,395.5
2022,Max Verstappen,1,22,454
2023,Max Verstappen,1,22,575
2024,Max Verstappen,1,24,437
2025,Lando Norris,1,24,423
